SP	 &nbsp; 	space	formatting character
PD	.	period	formatting character
BR	<br>	newline	formatting character
CM	,	comma	formatting character
-a	-a	lexical linking element
?a?	&#x294;a&#x294;	there	be there; be in existence; be there in time or space
?a	&#x294;a&#x294;	there	be there; be in existence; be there in time or space
?ah	&#x294;ah	there	be there; be in existence; be there in time or space
-ab	-ab	way; method used to do something	derivational suffix
?al	&#x294;al	in/at	locative preposition
?e	&#x294;&#x4D9;	oblique marker; genitive marker
?es-	&#x294;&#x4D9;s-	stative	prefix of stative aspect
?i	&#x294;i	and
-abac	-abac	body, bulky object, enclosed area	lexical suffix
?acec	&#x294;ac&#x4D9;c	be there, specifically there, there exists
acil	aci&#x142;	momentary pause, wait. [doubtful]
-al	-al	lexical linking element
as-	as-	stative	prefix of stative aspect
-b	-b	suffix creating an agent-oriented verb
-eb	-&#x4D9;b	suffix creating an agent-oriented verb
be	b&#x4D9;	unknown
be?-	b&#x4D9;&#x294;-	again, anew, additional, another	inflectional additive prefix
besad	b&#x4d9;sad	grow dark
bez	b&#x4D9;z	unknown
-bi	-bi	supports patient suffixes (-d/-t, cid)	secondary stem suffix
bi	bi	supports patient suffixes (-d/-t, cid)	secondary stem suffix
bibsceb	bibsc&#x30c;&#x4D9;b	mink
blu-	&#x142;u-	irrealis prefix	event expected to, or might, occur
buks	buks	unknown
butz	butz	unknown
buus	buus	four
cagwa	ca'&#x294;g&#x2b7;a	wash
cal	c&#x30c;al	how
cal2	c&#x30c;al	chase, follow, pursue, overtake
ceb	c&#x4D9;b	second; two	compare sali&#x294;
ced	c&#x30c;&#x4D9;d	I, me
cel	c&#x30c;&#x4D9;&#x142;	our/we/us	1st peson plural predicate particle; possessive particle
-cel	-c&#x4D9;&#x142;	our/we/us	1st peson plural predicate particle; possessive particle
-cid	-cid	you	patient suffix
c'it	c&#x30c;'it	near
coyo	coyo	unknown
-cut	-cut	myself, yourself, himself, herself, itself, themselves	reflexive suffix, from -t-sut
cut2	cut	speak, say, talk, tell; any sort of verbal utterance
d-	d-	my, I, me	1p sg. possessive prefix
de	d&#x4D9;	unknown
degwi	d&#x4D9;g&#x2b7;i	you (singular); you are the one
del	del	unknown
dexw-	d&#x4D9;x&#x2b7;-	means by which	inflectional suffix
d(exw)-	d(&#x4D9;x&#x2b7;)-	means by which	inflectional suffix
di?e?	di&#x294;&#x4D9;&#x294;	here	occurs with ti&#x294;&#x4D9;&#x294; as part of the demonstrative phrase usually having no independent meaning
dil	di&#x142;	the one who, the thing that, that which, the aforementioned	[doubtful]
dun	dun	unknown
dxw-	dx&#x2b7;-	permeate, throughout, filled with, covered with; proclivity	derivational suffix which marks stems as serving to contain
d(xw)-	d(x&#x2b7;)-	permeate, throughout, filled with, covered with; proclivity	derivational suffix which marks stems as serving to contain
-dxw	-d&#x4D9;x&#x2b7;	loss of control	transitive suffix expressing lack of control
-(d)xw	-(d)&#x4D9;x&#x2b7;	loss of control	transitive suffix expressing lack of control
